barangay_name,lgu_name,total_ha,canopy_pct_v6_2019,canopy_pct_v6_2020,canopy_pct_v6_2021,canopy_pct_v6_2022,canopy_pct_v6_2023,canopy_pct_v6_2024,canopy_pct_v6_2025,canopy_pct_v6_2026,canopy_ha_v6_2019,canopy_ha_v6_2020,canopy_ha_v6_2021,canopy_ha_v6_2022,canopy_ha_v6_2023,canopy_ha_v6_2024,canopy_ha_v6_2025,canopy_ha_v6_2026
Rivera,San Juan,6.4,4.69,7.25,6.037,7.669,3.313,5.271,3.654,4.08,0.3,0.5,0.4,0.5,0.2,0.3,0.2,0.3
Saint Joseph,San Juan,3.8,4.202,8.646,4.895,3.189,7.17,4.542,6.185,8.142,0.2,0.3,0.2,0.1,0.3,0.2,0.2,0.3
Salapan,San Juan,17.8,7.804,7.979,7.732,7.396,5.234,7.976,6.142,6.945,1.4,1.4,1.4,1.3,0.9,1.4,1.1,1.2
San Perfecto,San Juan,8.3,3.942,5.145,4.071,5.16,4.596,4.802,4.081,5.138,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4
Santa Lucia,San Juan,31.7,9.623,9.267,8.155,9.803,8.876,9.247,10.526,9.186,3.1,2.9,2.6,3.1,2.8,2.9,3.3,2.9
Tibagan,San Juan,17.2,5.848,8.955,6.755,6.202,7.463,5.564,6.926,6.75,1.0,1.5,1.2,1.1,1.3,1.0,1.2,1.2
West Crame,San Juan,19.8,4.236,5.395,4.834,4.329,4.625,6.149,6.124,6.219,0.8,1.1,1.0,0.9,0.9,1.2,1.2,1.2
Aguho,Taguig,16.0,8.655,10.964,9.044,7.277,9.789,9.775,8.225,10.65,1.4,1.8,1.4,1.2,1.6,1.6,1.3,1.7
Bagumbayan,Taguig,224.6,4.431,5.105,4.15,4.496,5.182,5.481,4.809,4.884,10.0,11.5,9.3,10.1,11.6,12.3,10.8,11.0
Cembo,Taguig,43.2,4.995,6.429,4.77,4.952,4.187,6.385,7.852,7.683,2.2,2.8,2.1,2.1,1.8,2.8,3.4,3.3
Central Bicutan,Taguig,65.5,13.997,15.65,12.821,14.462,14.972,12.883,13.196,13.627,9.2,10.3,8.4,9.5,9.8,8.4,8.6,8.9
Comembo,Taguig,31.5,5.079,4.683,3.723,2.668,4.509,5.652,4.094,5.816,1.6,1.5,1.2,0.8,1.4,1.8,1.3,1.8
East Rembo,Taguig,50.2,3.356,4.696,2.344,3.2,3.465,4.891,4.718,4.856,1.7,2.4,1.2,1.6,1.7,2.5,2.4,2.4
Fort Bonifacio,Taguig,447.8,9.509,11.385,10.074,11.23,11.912,10.736,11.855,11.778,42.6,51.0,45.1,50.3,53.3,48.1,53.1,52.7
Lower Bicutan,Taguig,132.9,6.875,8.622,6.25,5.993,5.574,5.804,4.829,5.217,9.1,11.5,8.3,8.0,7.4,7.7,6.4,6.9
Maharlika Village,Taguig,45.6,6.453,6.898,4.748,5.288,6.327,7.049,6.146,6.999,2.9,3.1,2.2,2.4,2.9,3.2,2.8,3.2
Napindan,Taguig,216.7,5.956,7.976,5.417,5.025,7.787,7.553,6.732,6.927,12.9,17.3,11.7,10.9,16.9,16.4,14.6,15.0
New Lower Bicutan,Taguig,120.3,5.313,6.346,4.427,4.029,6.066,6.131,4.572,5.158,6.4,7.6,5.3,4.8,7.3,7.4,5.5,6.2
North Daang Hari,Taguig,12.7,9.514,9.314,9.763,8.851,10.883,8.819,8.872,9.317,1.2,1.2,1.2,1.1,1.4,1.1,1.1,1.2
Pembo,Taguig,72.5,2.001,3.115,2.197,1.714,2.076,3.274,1.94,3.678,1.5,2.3,1.6,1.2,1.5,2.4,1.4,2.7
Pinagsama,Taguig,298.7,6.289,8.514,7.567,7.21,7.673,7.355,7.078,7.948,18.8,25.4,22.6,21.5,22.9,22.0,21.1,23.7
Pitogo,Taguig,17.0,2.334,2.538,1.94,4.885,4.141,4.699,4.08,5.906,0.4,0.4,0.3,0.8,0.7,0.8,0.7,1.0
Post Proper Northside,Taguig,5.8,4.066,6.409,4.477,5.897,3.813,6.695,6.104,7.517,0.2,0.4,0.3,0.3,0.2,0.4,0.4,0.4
Post Proper Southside,Taguig,11.2,21.574,21.516,19.069,18.443,20.472,18.863,19.436,19.59,2.4,2.4,2.1,2.1,2.3,2.1,2.2,2.2
Rizal,Taguig,72.5,1.579,2.92,1.012,1.773,1.719,3.167,3.182,4.303,1.1,2.1,0.7,1.3,1.2,2.3,2.3,3.1
Santa Ana,Taguig,211.1,6.317,9.242,7.456,6.136,12.004,6.892,11.17,5.431,13.3,19.5,15.7,13.0,25.3,14.5,23.6,11.5
South Cembo,Taguig,21.2,4.464,5.484,4.104,6.04,5.273,5.6,4.505,4.256,0.9,1.2,0.9,1.3,1.1,1.2,1.0,0.9
South Daang Hari,Taguig,28.3,6.084,7.046,5.631,7.296,8.292,5.429,7.455,5.83,1.7,2.0,1.6,2.1,2.3,1.5,2.1,1.7
Tanyag,Taguig,36.6,5.032,4.942,5.113,6.385,6.04,5.805,5.145,5.131,1.8,1.8,1.9,2.3,2.2,2.1,1.9,1.9
Tuktukan,Taguig,31.6,4.104,6.221,3.203,3.097,4.11,4.595,4.692,5.609,1.3,2.0,1.0,1.0,1.3,1.5,1.5,1.8
Upper Bicutan,Taguig,45.5,3.827,4.094,2.102,2.131,2.858,4.171,3.555,4.406,1.7,1.9,1.0,1.0,1.3,1.9,1.6,2.0
