barangay_name,lgu_name,total_ha,canopy_pct_2025,canopy_pct_2019,canopy_trend_pct_per_yr,flood_frac,flood_pct,hand_m,elev_m,builtup_prob,dist_water_m
Barangay 116,Pasay,0.5,0.789,2.905,0.4238,0.0,0.0,2.12,7.72,0.738,729.4
Barangay 117,Pasay,1.1,1.424,2.758,0.4318,0.0,0.0,1.93,7.53,0.7377,706.8
Barangay 117,Caloocan,3.2,0.185,0.408,-0.011,0.0,0.0,2.92,17.48,0.7138,1590.8
Barangay 118,Pasay,2.4,3.046,2.555,0.4114,0.0,0.0,2.12,7.72,0.7391,594.9
Barangay 118,Caloocan,36.6,9.561,7.964,-0.2293,0.0,0.0,2.41,15.53,0.6836,1751.1
Barangay 119,Pasay,3.0,4.299,1.344,0.7509,0.0,0.0,1.96,7.56,0.7433,561.7
Barangay 119,Caloocan,4.1,1.348,0.253,0.1764,0.0,0.0,3.17,16.7,0.725,1517.4
Barangay 12,Pasay,2.1,4.852,5.79,-0.1867,0.0,0.0,2.53,7.85,0.7268,468.4
Barangay 12,Caloocan,31.8,0.73,1.13,-0.0484,0.0,0.0,1.4,6.99,0.7339,948.6
Barangay 120,Pasay,3.3,5.775,1.653,0.6022,0.0,0.0,1.89,7.49,0.7307,894.3
Barangay 120,Caloocan,6.0,2.752,1.519,0.2556,0.0,0.0,1.41,13.7,0.7325,1361.8
Barangay 121,Caloocan,5.1,0.126,2.263,-0.5051,0.0,0.0,7.24,21.87,0.7502,2190.5
Barangay 121,Pasay,1.9,6.376,4.938,0.1844,0.0,0.0,2.36,7.96,0.7392,874.9
Barangay 122,Caloocan,5.1,0.276,0.0,-0.0525,0.0,0.0,8.42,22.18,0.7476,2459.5
Barangay 122,Pasay,1.6,6.618,4.661,-0.1439,0.0,0.0,3.02,8.62,0.7399,959.5
Barangay 123,Caloocan,2.2,1.935,4.637,-0.6468,0.0,0.0,5.89,19.93,0.7477,2044.8
Barangay 123,Pasay,1.4,6.137,5.211,0.5081,0.0,0.0,2.36,7.96,0.7378,859.7
Barangay 124,Caloocan,3.2,1.862,3.372,-0.4947,0.0,0.0,7.64,21.44,0.739,2191.0
Barangay 124,Pasay,2.0,7.996,4.115,0.5895,0.0,0.0,2.97,8.57,0.7449,955.0
Barangay 125,Caloocan,3.0,1.422,0.703,-0.115,0.0,0.0,7.36,21.1,0.7482,2349.1
Barangay 125,Pasay,2.5,8.083,4.0,0.5798,0.0,0.0,3.16,8.76,0.7418,1009.1
Barangay 125,Manila,5.7,0.41,0.0,0.0099,0.0,0.0,3.49,6.41,0.7256,328.5
Barangay 126,Pasay,1.0,8.859,5.473,0.5381,0.0,0.0,2.74,8.34,0.737,1036.3
Barangay 126,Caloocan,3.9,3.204,1.334,-0.0052,0.0,0.0,6.55,20.25,0.7466,2279.8
Barangay 126,Manila,13.8,1.815,0.937,0.0971,0.0,0.0,5.28,5.75,0.7051,311.3
Barangay 127,Pasay,2.7,8.366,1.97,1.0574,0.0,0.0,2.09,7.69,0.7163,764.7
Barangay 127,Caloocan,4.3,7.401,1.927,0.3432,0.0,0.0,5.02,18.19,0.7445,2116.1
Barangay 127,Manila,5.4,0.45,0.0,0.0399,0.0,0.0,5.02,5.67,0.7321,392.4
Barangay 128,Pasay,1.5,8.92,1.999,1.1701,0.0,0.0,0.76,6.36,0.7152,653.8
